;Date;Production;Prediction
608;2026-08-31;1130457979.3170366;1
609;2026-09-07;1156818798.3564444;1
610;2026-09-14;1083344425.7883458;1
611;2026-09-21;1019885101.7639612;1
612;2026-09-28;1020709346.5839388;1
613;2026-10-05;1033952752.4986005;1
614;2026-10-12;989692578.6837808;1
615;2026-10-19;1014641102.4694735;1
616;2026-10-26;1029290758.0844012;1
617;2026-11-02;1008283357.8184321;1
618;2026-11-09;1042741793.3448728;1
619;2026-11-16;1024123396.99655;1
620;2026-11-23;1029665726.8434014;1
621;2026-11-30;1096061354.8094127;1
622;2026-12-07;1132241122.7595499;1
623;2026-12-14;1119353527.2223115;1
624;2026-12-21;923592386.1328366;1
625;2026-12-28;937800285.6413496;1
626;2027-01-04;1070434391.9388182;1
627;2027-01-11;1120363141.7719836;1
628;2027-01-18;1254097127.9259245;1
629;2027-01-25;1214451297.5118206;1
630;2027-02-01;1078605806.4090474;1
631;2027-02-08;1153650686.8522182;1
632;2027-02-15;1028732162.2194186;1
633;2027-02-22;1092836504.6496382;1
634;2027-03-01;1105531419.7981331;1
635;2027-03-08;1013459016.8353174;1
636;2027-03-15;1049967313.3132582;1
637;2027-03-22;1018471170.8219402;1
638;2027-03-29;1099609085.806241;1
639;2027-04-05;1081356712.8731356;1
640;2027-04-12;1039858203.1516974;1
641;2027-04-19;1089455422.7929645;1
642;2027-04-26;1113223580.040181;1
643;2027-05-03;1148280633.5248306;1
644;2027-05-10;1242467378.6114624;1
645;2027-05-17;1243024983.3132854;1
646;2027-05-24;1131178960.1282187;1
647;2027-05-31;1143570461.6953018;1
648;2027-06-07;1188374735.5906136;1
649;2027-06-14;1198212797.8562212;1
650;2027-06-21;1271368340.5482428;1
651;2027-06-28;1292834286.2135682;1
652;2027-07-05;1283202294.5010748;1
653;2027-07-12;1328963146.3602169;1
654;2027-07-19;1353862070.9221206;1
655;2027-07-26;1293552704.8497345;1
656;2027-08-02;1214933468.2467666;1
657;2027-08-09;1252569447.8678124;1
658;2027-08-16;1226967042.788414;1
659;2027-08-23;1206213711.3775573;1
660;2027-08-30;1130457979.0767734;1
661;2027-09-06;1156818797.9239244;1
662;2027-09-13;1083344425.5096896;1
663;2027-09-20;1019885101.5489212;1
664;2027-09-27;1020709346.3118677;1
665;2027-10-04;1033952752.3095895;1
666;2027-10-11;989692578.5942159;1
667;2027-10-18;1014641102.2569906;1
668;2027-10-25;1029290757.5974487;1
669;2027-11-01;1008283357.8194709;1
670;2027-11-08;1042741793.3344681;1
671;2027-11-15;1024123397.0639265;1
672;2027-11-22;1029665726.9774152;1
673;2027-11-29;1096061354.7153575;1
674;2027-12-06;1132241122.6819496;1
675;2027-12-13;1119353526.9040737;1
676;2027-12-20;923592386.1200721;1
677;2027-12-27;937800285.6100094;1
678;2028-01-03;1070434392.1458263;1
679;2028-01-10;1120363142.0082898;1
680;2028-01-17;1254097127.6559284;1
681;2028-01-24;1214451297.21054;1
682;2028-01-31;1078605806.3867562;1
683;2028-02-07;1153650686.6936235;1
684;2028-02-14;1028732162.2352861;1
685;2028-02-21;1092836504.591471;1
686;2028-02-28;1105531419.7476091;1
687;2028-03-06;1013459016.7916752;1
688;2028-03-13;1049967313.2743802;1
689;2028-03-20;1018471170.7882372;1
690;2028-03-27;1099609085.775603;1
691;2028-04-03;1081356712.8475773;1
692;2028-04-10;1039858203.129011;1
693;2028-04-17;1089455422.772584;1
694;2028-04-24;1113223580.0232954;1
695;2028-05-01;1148280633.5100439;1
696;2028-05-08;1242467378.5982955;1
697;2028-05-15;1243024983.3003182;1
698;2028-05-22;1131178960.1181347;1
699;2028-05-29;1143570461.6874557;1
700;2028-06-05;1188374735.58401;1
701;2028-06-12;1198212797.8516643;1
702;2028-06-19;1271368340.5446503;1
703;2028-06-26;1292834286.2102795;1
704;2028-07-03;1283202294.499003;1
705;2028-07-10;1328963146.3568823;1
706;2028-07-17;1353862070.917667;1
707;2028-07-24;1293552704.8467183;1
708;2028-07-31;1214933468.2447402;1
709;2028-08-07;1252569447.865854;1
710;2028-08-14;1226967042.7870903;1
711;2028-08-21;1206213711.3752525;1
712;2028-08-28;1130457979.075123;1
713;2028-09-04;1156818797.9209538;1
714;2028-09-11;1083344425.5077755;1
715;2028-09-18;1019885101.5474442;1
716;2028-09-25;1020709346.3099991;1
717;2028-10-02;1033952752.3082913;1
718;2028-10-09;989692578.5936006;1
719;2028-10-16;1014641102.2555312;1
720;2028-10-23;1029290757.5941044;1
721;2028-10-30;1008283357.8194779;1
722;2028-11-06;1042741793.3343966;1
723;2028-11-13;1024123397.0643891;1
724;2028-11-20;1029665726.9783355;1
725;2028-11-27;1096061354.7147117;1
726;2028-12-04;1132241122.6814167;1
727;2028-12-11;1119353526.9018881;1
728;2028-12-18;923592386.1199844;1
729;2028-12-25;937800285.6097941;1
730;2029-01-01;1070434392.1472479;1
731;2029-01-08;1120363142.0099125;1
732;2029-01-15;1254097127.6540742;1
733;2029-01-22;1214451297.208471;1
734;2029-01-29;1078605806.386603;1
735;2029-02-05;1153650686.6925344;1
736;2029-02-12;1028732162.2353951;1
737;2029-02-19;1092836504.5910714;1
738;2029-02-26;1105531419.7472622;1
739;2029-03-05;1013459016.7913755;1
740;2029-03-12;1049967313.2741132;1
741;2029-03-19;1018471170.7880057;1
742;2029-03-26;1099609085.7753925;1
743;2029-04-02;1081356712.8474019;1
744;2029-04-09;1039858203.1288552;1
745;2029-04-16;1089455422.772444;1
746;2029-04-23;1113223580.0231795;1
747;2029-04-30;1148280633.5099423;1
748;2029-05-07;1242467378.598205;1
749;2029-05-14;1243024983.300229;1
750;2029-05-21;1131178960.1180656;1
751;2029-05-28;1143570461.6874018;1
752;2029-06-04;1188374735.5839646;1
753;2029-06-11;1198212797.851633;1
754;2029-06-18;1271368340.5446258;1
755;2029-06-25;1292834286.2102568;1
756;2029-07-02;1283202294.4989886;1
757;2029-07-09;1328963146.3568594;1
758;2029-07-16;1353862070.9176364;1
759;2029-07-23;1293552704.8466976;1
760;2029-07-30;1214933468.2447264;1
761;2029-08-06;1252569447.8658407;1
762;2029-08-13;1226967042.7870812;1
763;2029-08-20;1206213711.3752367;1
764;2029-08-27;1130457979.0751116;1
765;2029-09-03;1156818797.9209332;1
766;2029-09-10;1083344425.5077624;1
767;2029-09-17;1019885101.5474341;1
768;2029-09-24;1020709346.3099862;1
769;2029-10-01;1033952752.3082824;1
770;2029-10-08;989692578.5935965;1
771;2029-10-15;1014641102.2555212;1
772;2029-10-22;1029290757.5940814;1
773;2029-10-29;1008283357.8194779;1
774;2029-11-05;1042741793.3343961;1
775;2029-11-12;1024123397.0643923;1
776;2029-11-19;1029665726.9783418;1
777;2029-11-26;1096061354.7147071;1
778;2029-12-03;1132241122.6814132;1
779;2029-12-10;1119353526.901873;1
780;2029-12-17;923592386.1199838;1
781;2029-12-24;937800285.6097927;1
782;2029-12-31;1070434392.1472577;1
783;2030-01-07;1120363142.0099237;1
784;2030-01-14;1254097127.6540616;1
785;2030-01-21;1214451297.2084568;1
786;2030-01-28;1078605806.3866022;1
787;2030-02-04;1153650686.692527;1
788;2030-02-11;1028732162.2353958;1
789;2030-02-18;1092836504.5910685;1
790;2030-02-25;1105531419.7472599;1
791;2030-03-04;1013459016.7913735;1
792;2030-03-11;1049967313.2741114;1
793;2030-03-18;1018471170.7880042;1
794;2030-03-25;1099609085.775391;1
795;2030-04-01;1081356712.8474007;1
796;2030-04-08;1039858203.1288542;1
797;2030-04-15;1089455422.772443;1
798;2030-04-22;1113223580.0231788;1
799;2030-04-29;1148280633.5099416;1
800;2030-05-06;1242467378.5982044;1
801;2030-05-13;1243024983.3002284;1
802;2030-05-20;1131178960.118065;1
803;2030-05-27;1143570461.6874013;1
804;2030-06-03;1188374735.5839643;1
805;2030-06-10;1198212797.8516328;1
806;2030-06-17;1271368340.5446255;1
807;2030-06-24;1292834286.2102566;1
808;2030-07-01;1283202294.4989886;1
809;2030-07-08;1328963146.3568592;1
810;2030-07-15;1353862070.9176362;1
811;2030-07-22;1293552704.8466973;1
812;2030-07-29;1214933468.2447264;1
813;2030-08-05;1252569447.8658407;1
814;2030-08-12;1226967042.7870812;1
815;2030-08-19;1206213711.3752367;1
816;2030-08-26;1130457979.0751116;1
817;2030-09-02;1156818797.920933;1
818;2030-09-09;1083344425.5077624;1
819;2030-09-16;1019885101.547434;1
820;2030-09-23;1020709346.3099861;1
821;2030-09-30;1033952752.3082823;1
822;2030-10-07;989692578.5935965;1
823;2030-10-14;1014641102.255521;1
824;2030-10-21;1029290757.5940813;1
825;2030-10-28;1008283357.8194779;1
826;2030-11-04;1042741793.3343961;1
827;2030-11-11;1024123397.0643923;1
828;2030-11-18;1029665726.9783418;1
829;2030-11-25;1096061354.7147071;1
830;2030-12-02;1132241122.6814132;1
831;2030-12-09;1119353526.901873;1
832;2030-12-16;923592386.1199838;1
833;2030-12-23;937800285.6097927;1
834;2030-12-30;1070434392.1472578;1
835;2031-01-06;1120363142.0099237;1
836;2031-01-13;1254097127.6540616;1
837;2031-01-20;1214451297.2084568;1
838;2031-01-27;1078605806.3866022;1
839;2031-02-03;1153650686.692527;1
840;2031-02-10;1028732162.2353958;1
841;2031-02-17;1092836504.5910685;1
842;2031-02-24;1105531419.7472599;1
843;2031-03-03;1013459016.7913735;1
844;2031-03-10;1049967313.2741114;1
845;2031-03-17;1018471170.7880042;1
846;2031-03-24;1099609085.775391;1
847;2031-03-31;1081356712.8474007;1
848;2031-04-07;1039858203.1288542;1
849;2031-04-14;1089455422.772443;1
850;2031-04-21;1113223580.0231788;1
851;2031-04-28;1148280633.5099416;1
852;2031-05-05;1242467378.5982044;1
853;2031-05-12;1243024983.3002284;1
854;2031-05-19;1131178960.118065;1
