;Date;Consumption;Prediction
563;2025-10-20;1164583071.4256496;1
564;2025-10-27;1096386675.6122127;1
565;2025-11-03;1198446189.3125768;1
566;2025-11-10;1192748523.1202147;1
567;2025-11-17;1258759948.3923922;1
568;2025-11-24;1313175931.8316271;1
569;2025-12-01;1354341426.0517883;1
570;2025-12-08;1407225474.7317035;1
571;2025-12-15;1407151915.835093;1
572;2025-12-22;1282027104.4027102;1
573;2025-12-29;1142411542.6542437;1
574;2026-01-05;1188173990.223322;1
575;2026-01-12;1287387202.2768552;1
576;2026-01-19;1393468140.926768;1
577;2026-01-26;1369847560.144866;1
578;2026-02-02;1316892775.3434381;1
579;2026-02-09;1283329573.2657516;1
580;2026-02-16;1206018927.288739;1
581;2026-02-23;1183869353.517237;1
582;2026-03-02;1208920741.308456;1
583;2026-03-09;1236319225.1251745;1
584;2026-03-16;1224910604.057857;1
585;2026-03-23;1186142945.2376275;1
586;2026-03-30;1229975262.2040646;1
587;2026-04-06;1232332616.3014302;1
588;2026-04-13;1077315168.484451;1
589;2026-04-20;1109734348.7773073;1
590;2026-04-27;1129946162.1695604;1
591;2026-05-04;1093227163.0376022;1
592;2026-05-11;1103780406.7709193;1
593;2026-05-18;1093339695.8686008;1
594;2026-05-25;1080592434.1648343;1
595;2026-06-01;1113622135.616835;1
596;2026-06-08;1139228653.2044728;1
597;2026-06-15;1074787080.9534729;1
598;2026-06-22;1132433066.6840715;1
599;2026-06-29;1124540390.574719;1
600;2026-07-06;1081791475.7767775;1
601;2026-07-13;1067264375.718086;1
602;2026-07-20;1044192362.9153851;1
603;2026-07-27;988220286.4537408;1
604;2026-08-03;1032909884.1204094;1
605;2026-08-10;1028732268.8600008;1
606;2026-08-17;1093722892.700839;1
607;2026-08-24;1069263422.8659931;1
608;2026-08-31;1093685043.231332;1
609;2026-09-07;1064791754.8258773;1
610;2026-09-14;1128048957.2238603;1
611;2026-09-21;1065520499.5528463;1
612;2026-09-28;1190572042.830026;1
613;2026-10-05;1122991415.4879992;1
614;2026-10-12;1100238679.90701;1
615;2026-10-19;1156922256.7390518;1
616;2026-10-26;1086425751.1951883;1
617;2026-11-02;1185442796.7911885;1
618;2026-11-09;1178084722.2319632;1
619;2026-11-16;1244812644.1558247;1
620;2026-11-23;1299558100.0200129;1
621;2026-11-30;1340396546.373253;1
622;2026-12-07;1396573626.0988698;1
623;2026-12-14;1398746594.0804014;1
624;2026-12-21;1284539298.211327;1
625;2026-12-28;1156169709.8840442;1
626;2027-01-04;1201120579.4370887;1
627;2027-01-11;1301689772.1232138;1
628;2027-01-18;1410510125.5567255;1
629;2027-01-25;1386193098.9632382;1
630;2027-02-01;1328671766.310645;1
631;2027-02-08;1295856388.9992964;1
632;2027-02-15;1212857468.542669;1
633;2027-02-22;1187892878.8627253;1
634;2027-03-01;1217471602.7662027;1
635;2027-03-08;1244659920.2005308;1
636;2027-03-15;1236163455.6443875;1
637;2027-03-22;1195397407.2518177;1
638;2027-03-29;1237487924.3236516;1
639;2027-04-05;1242856596.9678652;1
640;2027-04-12;1090317328.8011947;1
641;2027-04-19;1122150645.4349852;1
642;2027-04-26;1143249770.1224053;1
643;2027-05-03;1105528950.9930997;1
644;2027-05-10;1113464452.8062346;1
645;2027-05-17;1104638194.7832644;1
646;2027-05-24;1090936593.300143;1
647;2027-05-31;1122962847.8765614;1
648;2027-06-07;1148315087.9679017;1
649;2027-06-14;1085340820.3560753;1
650;2027-06-21;1142798779.9305906;1
651;2027-06-28;1132966574.0989296;1
652;2027-07-05;1090805609.499208;1
653;2027-07-12;1077989742.040737;1
654;2027-07-19;1054360061.6360375;1
655;2027-07-26;997026922.9783425;1
656;2027-08-02;1042192645.1168016;1
657;2027-08-09;1037802593.168285;1
658;2027-08-16;1101765755.6311424;1
659;2027-08-23;1078358187.7057114;1
660;2027-08-30;1102730352.493653;1
661;2027-09-06;1075691288.6179018;1
662;2027-09-13;1138803467.02999;1
663;2027-09-20;1075860054.9688263;1
664;2027-09-27;1199191458.5284803;1
665;2027-10-04;1133654692.4025695;1
666;2027-10-11;1110561474.3718805;1
667;2027-10-18;1164445786.149893;1
668;2027-10-25;1096208171.3262684;1
669;2027-11-01;1198213162.6174924;1
670;2027-11-08;1192485741.1536825;1
671;2027-11-15;1258510006.3710132;1
672;2027-11-22;1312931894.105622;1
673;2027-11-29;1354091527.4795895;1
674;2027-12-06;1407034588.770262;1
675;2027-12-13;1407001288.6548097;1
676;2027-12-20;1282072124.0558255;1
677;2027-12-27;1142658095.254629;1
